Label	Weight	Text
l_general	2.230483	hey detener
l_general	2.230483	¿hay algún humano real
l_general	2.230483	no hagas eso ya
l_general	2.230483	dije que pare
l_general	2.230483	cualquier ayuda
l_general	2.230483	no importa cancelar que
l_general	2.230483	todo listo
l_general	2.230483	decir que de nuevo
l_general	2.230483	ir a la anterior
l_general	2.230483	necesito ayuda humana real
l_general	2.230483	optar por el inferior elección
l_general	2.230483	algo de ayuda
l_general	2.230483	seleccione la tercera
l_general	2.230483	quiero la primera
l_general	2.230483	me gusta el parte inferior una
l_general	2.230483	optar por primero uno
l_general	2.230483	quiero que el segundo
l_general	2.230483	tranquilo
l_general	2.230483	quiero izquierda
l_general	2.230483	simplemente cancelarlo
l_general	2.230483	dar vuelta a la página
l_general	2.230483	optar por derecho una
l_general	2.230483	qué has dicho
l_general	2.230483	elija el arriba a la derecha una
l_general	2.230483	cómo
l_general	2.230483	quiero elegir el primero
l_general	2.230483	lo que después de que
l_general	2.230483	detener por favor
l_general	2.230483	ninguno
l_general	2.230483	lo que es más
l_general	2.230483	ni uno
l_general	2.230483	en ninguna parte sólo estar tranquilo
l_general	2.230483	cállate tranquilo
l_general	2.230483	bebé sólo estar tranquilo
l_general	2.230483	¿hay alguna ayuda
l_general	2.230483	alguien está bien
l_general	2.230483	parada de salida
l_general	2.230483	cualquier uno está bien
l_general	2.230483	ir a los siguientes tres artículos
l_general	2.230483	por favor regrese
l_general	2.230483	no importa cancelar
l_general	2.230483	cancelar cancelar
l_general	2.230483	¿hay alguna persona real
l_general	2.230483	elegir último
l_general	2.230483	enviarlo
l_general	2.230483	¿qué hay de la próxima
l_general	2.230483	quiero cuarto
l_general	2.230483	seleccione no. 5
l_general	2.230483	quiero derecho una
l_general	2.230483	dios cállate
l_general	2.230483	necesito ir a la siguiente
l_general	2.230483	oh mi dios cállate
l_general	2.230483	lo
l_general	2.230483	mostrar más
l_general	2.230483	¿cuál es el próximo 2
l_general	2.230483	seleccione cualquier opción
l_general	2.230483	por favor ayuda
l_general	2.230483	todo terminado
l_general	2.230483	me puedes ayudar
l_general	2.230483	ni
l_general	2.230483	otra vez
l_general	2.230483	próxima
l_general	2.230483	ninguno de ellos gracias
l_general	2.230483	cállate
l_general	2.230483	despedir
l_general	2.230483	optar por uno aleatorio
